Phrase,SoundsLike,IPA,DisplayAs
vo-a-e,bo-a-e,,VOAE
u-na,u-na,,UNAH
u-na-ve-ese,u-na-be-ese,,UNAH-VS
ve-ere-a,be-ere-a,,VRA
dip,dip,,DIPP
si-bu,si-bu,,CIVU
i-a-ge,i-a-je,,IAG
i-a-pe,i-a-pe,,IAP
pac,pak,,PAC
i-pac,i-pak,,IPAC
segundo-pac,segundo-pak,,IIPAC
tercer-pac,terser-pak,,IIIPAC
pa-se-e,pa-se-e,,PASEE
pro-cad,pro-kad,,PROCAD
pro-se-ne,pro-se-ne,,PROSENE
pa-i-e,pa-i-e,,PAIE
pa-pe,pa-pe,,PAPE
fu-ma,fu-ma,,PHUMA
suma-cum-laude,suma-kum-laude,,Summa Cum Laude
magna-cum-laude,magna-kum-laude,,Magna Cum Laude
cum-laude,kum-laude,,Cum Laude
alma-mater,alma-mater,,Alma Mater
mencion-honorifica,mension-onorifica,,Mención Honorífica
mi-bienestar,mi-bienestar,,Mi Bienestar
credito-educativo,kredito-edukativo,,Crédito Educativo
readmision,readmision,,Readmisión
horas-vo-a-e,oras-bo-a-e,,Horas VOAE
cambio-de-carrera,kambio-de-karrera,,Cambio de Carrera
feria-vocacional,feria-bokasional,,Feria Vocacional
vida-universitaria,bida-unibersitaria,,Vida Universitaria
movilidad-academica,mobilidad-akademika,,Movilidad Académica
unidad-medico-deportiva,unidad-mediko-deportiba,,Unidad Médico Deportiva
escuela-de-liderazgo,eskuela-de-liderasgo,,Escuela de Liderazgo
dispensarizacion,dispensarisasion,,Dispensarización
prueba-vocacional,prueba-bokasional,,Prueba Vocacional
examen-de-suficiencia,eksamen-de-sufisiensia,,Examen de Suficiencia
beca-equidad,beka-ekidad,,Beca Equidad
beca-alma-mater,beka-alma-mater,,Beca Alma Mater
articulo-ciento-cuarenta,artikulo-siento-kuarenta,,Artículo 140
induccion,induksion,,Inducción
voluntariado-universitario,boluntariado-unibersitario,,Voluntariado Universitario
tutores-academicos,tutores-akademikos,,Tutores Académicos
visitas-guiadas,bisitas-giadas,,Visitas Guiadas
